0	﻿دانشکده	﻿دانشکده	﻿دانشکده	_	_
1	مدیریت	مدیریت	مدیریت	_	_
2	دانشگاه	دانشگاه	دانشگاه	_	_
3	تهران	تهران	تهران	_	_
4	؛	؛	؛	_	_
5	داده	داده	داده	_	_
6	کاوی	کاو	کاو	_	_
7	چیست	چیست	چیست	_	_
8	و	و	و	_	_
9	چه	چه	چه	_	_
10	فایده	فایده	فایده	_	_
11	ای	ای	ای	_	_
12	دارد	دارد	داشت	_	_
13	؟	؟	؟	_	_
14	داده	داده	داده	_	_
15	کاوی	کاو	کاو	_	_
16	علم	علم	علم	_	_
17	و	و	و	_	_
18	فنی	فن	فن	_	_
19	است	است		_	_
20	که	که	که	_	_
21	در	در	در	_	_
22	سالهای	سالهای	سالهای	_	_
23	اخیر	اخیر	اخیر	_	_
24	و	و	و	_	_
25	با	با	با	_	_
26	گسترش	گسترش	گسترش	_	_
27	استفاده	استفاده	استفاده	_	_
28	از	از	از	_	_
29	فناوری	فناوری	فناوری	_	_
30	اطلاعات	اطلاع	اطلاعات	_	_
31	و	و	و	_	_
32	سیستم	سیس	سیستم	_	_
33	های		های	_	_
34	اطلاعاتی	اطلاعات	اطلاعات	_	_
35	مورد	مورد	مورد	_	_
36	توجه	توجه	توجه	_	_
37	سازمان	سازمان	سازمان	_	_
38	ها		ها	_	_
39	قرار	قرار	قرار	_	_
40	گرفت	گرفت	گرفت	_	_
41	.	.	.	_	_
42	داده	داده	داده	_	_
43	کاوی	کاو	کاو	_	_
44	کاربردهای	کاربرد	کاربرد	_	_
45	مختلفی	مختلف	مختلف	_	_
46	برای	برای	برای	_	_
47	سازمان	سازمان	سازمان	_	_
48	ها		ها	_	_
49	دارد	دارد	داشت	_	_
50	و	و	و	_	_
51	می	می	می	_	_
52	تواند	تواند	توانست	_	_
53	برای	برای	برای	_	_
54	شرکت	شرک	شرکت	_	_
55	ها		ها	_	_
56	در	در	در	_	_
57	زمینه	زمینه	زمینه	_	_
58	های		های	_	_
59	مهمی	مهم	مهم	_	_
60	مثل	مثل	مثل	_	_
61	بازاریابی	بازاریاب	بازاریابی	_	_
62	و	و	و	_	_
63	فروش	فرو	فروش	_	_
64	بسیار	بسیار	بسیار	_	_
65	راهگشا	راهگشا	راهگشا	_	_
66	و	و	و	_	_
67	مفید	مفید	مفید	_	_
68	باشد	باشد	بود	_	_
69	.	.	.	_	_
70	در	در	در	_	_
71	ادامه	ادامه	ادامه	_	_
72	با	با	با	_	_
73	مفهوم	مفهوم	مفهوم	_	_
74	داده	داده	داده	_	_
75	و	و	و	_	_
76	اطلاعات	اطلاع	اطلاعات	_	_
77	آشنا	آشنا	آشنا	_	_
78	میشویم	میشو	میشویم	_	_
79	و	و	و	_	_
80	سپس	سپس	سپس	_	_
81	با	با	با	_	_
82	معنای	معنا	معنا	_	_
83	داده	داده	داده	_	_
84	کاوی	کاو	کاو	_	_
85	و	و	و	_	_
86	کاربردهای	کاربرد	کاربرد	_	_
87	آن	آن	آن	_	_
88	بیشتر	بی	بیشتر	_	_
89	آشنا	آشنا	آشنا	_	_
90	خواهیم‌شد	خواهیم‌شد	شد	_	_
91	:	:	:	_	_
92	داده	داده	داده	_	_
93	با	با	با	_	_
94	اطلاعات	اطلاع	اطلاعات	_	_
95	چه	چه	چه	_	_
96	فرقی	فرق	فرق	_	_
97	دارد	دارد	داشت	_	_
98	؟	؟	؟	_	_
99	بسیاری	بسیار	بسیار	_	_
100	از	از	از	_	_
101	مردم	مرد	مردم	_	_
102	به	به	به	_	_
103	اشتباه	اشتباه	اشتباه	_	_
104	می	می	می	_	_
105	پندارند	پندارند	پندارند	_	_
106	که	که	که	_	_
107	داده	داده	داده	_	_
108	با	با	با	_	_
109	اطلاعات	اطلاع	اطلاعات	_	_
110	تفاوت	تفاوت	تفاوت	_	_
111	ندارد	ندارد	داشت	_	_
112	و	و	و	_	_
113	عموما	عموما	عموما	_	_
114	این	این	این	_	_
115	دو	دو	دو	_	_
116	واژه	واژه	واژه	_	_
117	را	را	را	_	_
118	به	به	به	_	_
119	جای	جا	جای	_	_
120	هم	هم	هم	_	_
121	استفاده	استفاده	استفاده	_	_
122	می	می	می	_	_
123	کنند	کنند	کرد	_	_
124	.	.	.	_	_
125	داده	داده	داده	_	_
126	می	می	می	_	_
127	تواند	تواند	توانست	_	_
128	هر	هر	هر	_	_
129	نوع	نوع	نوع	_	_
130	از	از	از	_	_
131	کاراکتر	کاراک	کاراکتر	_	_
132	شامل	شامل	شامل	_	_
133	متن	متن	متن	_	_
134	،	،	،	_	_
135	عدد	عدد	عدد	_	_
136	،	،	،	_	_
137	کلمه	کلمه	کلمه	_	_
138	،	،	،	_	_
139	صدا	صدا	صدا	_	_
140	و	و	و	_	_
141	تصویر	تصویر	تصویر	_	_
142	باشد	باشد	بود	_	_
143	و	و	و	_	_
144	در	در	در	_	_
145	صورتی	صورت	صورت	_	_
146	که	که	که	_	_
147	توسط	توسط	توسط	_	_
148	انسان	انس	انسان	_	_
149	مشاهده	مشاهده	مشاهده	_	_
150	شود	شود	شد	_	_
151	لزوما	لزوما	لزوما	_	_
152	معنای	معنا	معنا	_	_
153	خاصی	خاص	خاص	_	_
154	هم	هم	هم	_	_
155	در	در	در	_	_
156	بر	بر	بر	_	_
157	نخواهد‌داشت	نخواهد‌دا	داشت	_	_
158	.	.	.	_	_
159	داده	داده	داده	_	_
160	ها		ها	_	_
161	عموما	عموما	عموما	_	_
162	خام	خام	خام	_	_
163	،	،	،	_	_
164	دسته	دسته	دسته	_	_
165	بندی	بند	بست	_	_
166	و	و	و	_	_
167	طبقه	طبقه	طبقه	_	_
168	بندی	بند	بست	_	_
169	نشده	نشده	شد	_	_
170	هستند	هستند		_	_
171	و	و	و	_	_
172	در	در	در	_	_
173	صورتی	صورت	صورت	_	_
174	که	که	که	_	_
175	بخواهیم	بخواه	خواست	_	_
176	از	از	از	_	_
177	آنها	آن	آن	_	_
178	به	به	به	_	_
179	صورت	صور	صورت	_	_
180	مستقیم	مستقیم	مستقیم	_	_
181	استفاده	استفاده	استفاده	_	_
182	کنیم	کنیم	کرد	_	_
183	عموما	عموما	عموما	_	_
184	بی	بی	بی	_	_
185	فایده	فایده	فایده	_	_
186	خواهد‌بود	خواهد‌بود	بود	_	_
187	.	.	.	_	_
188	حال	حال	حال	_	_
189	آنکه	آنکه	آنکه	_	_
190	پس	پس	پس	_	_
191	از	از	از	_	_
192	طبقه	طبقه	طبقه	_	_
193	بندی	بند	بست	_	_
194	،	،	،	_	_
195	دسته	دسته	دسته	_	_
196	بندی	بند	بست	_	_
197	و	و	و	_	_
198	ساختاردهی	ساختارده	ساختاردهی	_	_
199	به	به	به	_	_
200	داده	داده	داده	_	_
201	ها		ها	_	_
202	اطلاعات	اطلاع	اطلاعات	_	_
203	به	به	به	_	_
204	وجود	وجود	وجود	_	_
205	می	می	می	_	_
206	آید	آید	آمد	_	_
207	.	.	.	_	_
208	می	می	می	_	_
209	توان	تو	توان	_	_
210	از	از	از	_	_
211	داده	داده	داده	_	_
212	ها		ها	_	_
213	برای	برای	برای	_	_
214	تصمیم	تصمیم	تصمیم	_	_
215	گیری	گیر	گرفت	_	_
216	و	و	و	_	_
217	یا	یا	یا	_	_
218	ایجاد	ایجاد	ایجاد	_	_
219	دانش	دانش	دانش	_	_
220	در	در	در	_	_
221	مورد	مورد	مورد	_	_
222	یک	یک	یک	_	_
223	مقوله	مقوله	مقوله	_	_
224	استفاده	استفاده	استفاده	_	_
225	کرد	کرد	کرد	_	_
226	.	.	.	_	_
227	اطلاعات	اطلاع	اطلاعات	_	_
228	عموما	عموما	عموما	_	_
229	برای	برای	برای	_	_
230	کاربر	کاربر	کاربر	_	_
